source,source URI,source PoS,target,target URI,target PoS,ok?,comment
{slå sine triller_1§3},https://wordnet.dk/dannet/data/synset-30587,noun,{frembringe_§2a},https://wordnet.dk/dannet/data/synset-30599,verb,yes,
{falde i vandet_§11; gå i vandet_§1},https://wordnet.dk/dannet/data/synset-74843,noun,{begå_§1},https://wordnet.dk/dannet/data/synset-48958,verb,yes,
{slå sig for panden_2§10},https://wordnet.dk/dannet/data/synset-28186,noun,{slå_2§1},https://wordnet.dk/dannet/data/synset-28199,verb,yes,
{varme nogens ører_1§34},https://wordnet.dk/dannet/data/synset-28227,noun,{slå_2§1},https://wordnet.dk/dannet/data/synset-28199,verb,yes,
{slå håret_§14 ud},https://wordnet.dk/dannet/data/synset-28159,noun,{slå_2§1},https://wordnet.dk/dannet/data/synset-28199,verb,yes,
{slå sig for brystet_§9},https://wordnet.dk/dannet/data/synset-28131,noun,{slå_2§1},https://wordnet.dk/dannet/data/synset-28199,verb,yes,
{slå/sende i brædderne_§6},https://wordnet.dk/dannet/data/synset-28132,noun,{slå_2§1},https://wordnet.dk/dannet/data/synset-28199,verb,yes,
{slå/høste_3§2 hø},https://wordnet.dk/dannet/data/synset-28157,noun,{slå_2§1},https://wordnet.dk/dannet/data/synset-28199,verb,yes,
{hugge/slå (nogen) ned for fode_§12},https://wordnet.dk/dannet/data/synset-28141,noun,{slå_2§1},https://wordnet.dk/dannet/data/synset-28199,verb,yes,
{slå benene/fødderne_§26 væk under nogen; slå fødderne væk under nogen_§21},https://wordnet.dk/dannet/data/synset-28142,noun,{slå_2§1},https://wordnet.dk/dannet/data/synset-28199,verb,yes,
{slå følge_2§4a},https://wordnet.dk/dannet/data/synset-28145,noun,{slå_2§1},https://wordnet.dk/dannet/data/synset-28199,verb,yes,
